New_orth,Old_orth,Lan,New,Old
íz,jȣ̈tɜ,Ug,iːz,jȣ̈tͽ
asz,ϑasɜ,Ug,ɒs,θɑsͽ
öl,weδɜ,FU,øl,weðͽ
áz,ϑȣćɜ,Ug,aːz,θȣt͡ʃʲͽ
irt,šurɜ,U,irt,ʃurͽ
íj,joŋsɜ,U,iːj,joŋsͽ
ón,wolnɜ,FU,oːn,wolnͽ
öl,sile,FU,øl,sile
ég,säŋe,FU,eːɡ,sæŋe
ell,säle,U,ɛlː,sæle
év,säje,U,eːv,sæje
ín,sɤne,U,iːn,sɤne
arany,ϑarańa,Ug,ɒrɒɲ,θɑrɑnʲɑ
ev,sewe,FU,ɛv,sewe
egér,šiŋere,FU,ɛɡeːr,ʃiŋere
ősz,sikśe,FU,øːs,sikʃʲe
epe,säppä,FU,ɛpɛ,sæppæ
öt,witte,FU,øt,witte
iv,juγe,FU,iv,juɣe
új,wuδ̕e,FU,uːj,wuðʲe
ujj,soja,U,ujː,sojɑ
olvad,sula,FU,olvɒd,sulɑ
arasz,sorɜ,FU,ɒrɒs,sorͽ
apad,šoppɜ,FU,ɒpɒd,ʃoppͽ
iktat,jakka,FU,iktɒt,jɑkkɑ
akad,ϑȣkkɜ,Ug,ɒkɒd,θȣkkͽ
őn,säwnä,FU,øːn,sæwnæ
ideg,jänte,U,idɛɡ,jænte
öv,wiŋä,FU,øv,wiŋæ
év,jikä,FU,eːv,jikæ
avat,soŋe,U,ɒvɒt,soŋe
én,mȣ̈,U,eːn,mȣ̈
