Lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,link,ipa,subst1_kw_hw_iw
aids,M.,"Feuer, Brand",fire (N.),https://koeblergerhard.de/wikiling/?f=got&page=9,ɛds,ɛds
aiffaþa,V.,öffne dich,open up,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛffaθa,ɛffaθa
aifrs,Adj.,schrecklich,terrible,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛfrs,ɛfrs
aigan,V.,haben,"have, own (V.), possess (V.)",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛɡan,ɛɡan
aigin,N.,"Eigentum, Vermögen","belongings, possessions, property",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛɡɪn,ɛɡɪn
aiginon,V.,aneignen,"appropriate (V.), make one’s own",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛɡɪnon,ɛɡɪnon
aigins,Adj.,eigen,of one’s own,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛɡɪns,ɛɡɪns
aihan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhan,ɛhan
aihtr,N.,"Klage, Bitte","complaint, lament (N.), request (N.)",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhtr,ɛhtr
aihtron,V.,"beten, betteln, erbitten, für sich verlangen","beg, pray, request for oneself, beseech, supplicate",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhtron,ɛhtron
aihtrons,F.,"Bitte, Gebet","prayer, supplication",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhtrons,ɛhtrons
aihts,F.,"Eigentum, Besitz, Habe, Gut","belongings, property, possessions",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhts,ɛhts
aiƕatundi,F.,"„Pferdedorn“, Dornstrauch","thornbush, bramble, prickly bush",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhʷatundɪ,ɛhwatundɪ
aiƕs,M.,"Pferd, e-Rune","horse, name of e-rune",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛhʷs,ɛhws
aikan,V.,sprechen?,speak? (V.),https://koeblergerhard.de/wikiling/?f=got&page=9,ɛkan,ɛkan
aikklesjo,F.,"Kirche, Gotteshaus, Gemeinde","church, church building, religious congregation, house of God",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛkklesjo,ɛkklesjo
aiks,F.,Eiche,oak,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛks,ɛks
ailoe,Interj.,"eloi, mein Gott","eloi, my God",https://koeblergerhard.de/wikiling/?f=got&page=9,ɛloe,ɛloe
ain,"Adj., N., Num.",,,https://koeblergerhard.de/wikiling/?f=got&page=9,ɛn,ɛn
ainabaur,"Adj., M.",eingeboren,"only-begotten one, only-born one",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnabɔr,ɛnabɔr
ainaha,Adj.,einzig,"only (Adj.), sole",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnaha,ɛnaha
ainakls,Adj.,"vereinzelt, alleinstehend, einzeln","alone, standing alone, lonely, solitary (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnakls,ɛnakls
ainamundiþa,F.,"Einheit, Einmütigkeit","one-mindedness, unanimity",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnamundɪθa,ɛnamundɪθa
ainamunds,Adj.,einmütig,"of one mind, unanimous",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnamunds,ɛnamunds
ainan,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnan,ɛnan
ainata,Num.,,,https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnata,ɛnata
ainfalþaba,Adv.,einfältig,"simply, candidly, whole-heartedly",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnfalθaba,ɛnfalθaba
ainfalþei,F.,"Einfalt, Einfachheit","genuine-heartedness, sincerity, simplicity",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnfalθi,ɛnfalθi
ainfalþs,Adj.,"einfach, einfältig","in one piece, simple, single, whole",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnfalθs,ɛnfalθs
ainƕarjizuh,Pron.,ein jeder,"each, each one, everyone",https://koeblergerhard.de/wikiling/?f=got&page=10,ɛnhʷarjɪzuh,ɛnhwarjɪzuh
