Hun,Old,Lan,H_xtra,o_extra,o_extra2,H_IPA,o_IPA,H+∅,0+H+∅,0+old
fan,puna,FU,,,,fɒn,puna,fɒn∅,fɒn∅,puna
fon,puna,U,,,,fon,puna,fon∅,fon∅,puna
bonyolód,puńa,FU,,,,boɲolod,puɲa,boɲolod∅,boɲolod∅,punʲa
fúr,pura,U,,,,fur,pura,fur∅,fur∅,pura
far,purɜ,Ug,,,,fɒr,purɜ,fɒr∅,fɒr∅,purɜ
foszl,puśɜ,Ug,,,,fosl,puʃʲɜ,fosl∅,fosl∅,puʃʲɜ
fa,puwɜ,U,,,,fɒ,puβɜ,fɒ,fɒ,puβɜ
fúj,puwɜ ,U,,(puγɜ-),,fuj,puβɜ,fuj∅,fuj∅,puβɜ
fúl,puwɜ ,FU,,(puŋɜ-),,ful,puβɜ,ful∅,ful∅,puβɜ
fágy,pȣčɜ,FU,,,,faɟ,pȣt͡ʃɜ,faɟ∅,faɟ∅,pȣt͡ʃɜ
fú,pȣjɜ,U,,,,fu,pȣjɜ,fu,fu,pȣjɜ
fing,pȣnɜ,U,,,,finɡ,pȣnɜ,finɡ∅,finɡ∅,pȣnɜ
forog,pȣrkɜ ,FU,,(pȣrγɜ-),,foroɡ,pȣrkɜ,foroɡ∅,foroɡ∅,pȣrkɜ
fáz,pȣtɜ,Ug,,,,faz,pȣtɜ,faz∅,faz∅,pȣtɜ
fejsze,p¨jćɜ,U,,,,fɛjsɛ,p¨jt͡ʃʲɜ,fɛjsɛ,fɛjsɛ,p¨jt͡ʃʲɜ
fenyő,p¨nɜ,FU,,,,fɛɲø,p¨nɜ,fɛɲø,fɛɲø,p¨nɜ
rés,raćɜ,FU,,,,reʃ,rat͡ʃʲɜ,reʃ∅,reʃ∅,rat͡ʃʲɜ
rokon,rakka,FU,,,,rokon,rakka,rokon∅,rokon∅,rakka
rész,räćɜ,FU,,,,res,ræt͡ʃʲɜ,res∅,res∅,ræt͡ʃʲɜ
rejt,reŋɜ ,Ug,,(rekɜ),,rɛjt,reŋɜ,rɛjt∅,rɛjt∅,reŋɜ
ravasz,repä ,FU,,(repä-ćɜ),,rɒvɒs,repæ,rɒvɒs∅,rɒvɒs∅,repæ
ró,rokɜ ,FU,,"(roγɜ-, rowɜ-)",", rowɜ-)",ro,rokɜ,ro,ro,rokɜ
áll,salkɜ,FU,,,,all,salkɜ,all∅,0all∅,salkɜ
év,säje,U,,,,ev,sæje,ev∅,0ev∅,sæje
ell,säle ,U,,(sälke-),,ɛll,sæle,ɛll∅,0ɛll∅,sæle
ég,säŋe,FU,,,,eɡ,sæŋe,eɡ∅,0eɡ∅,sæŋe
epe,säppä,FU,,,,ɛpɛ,sæppæ,ɛpɛ,0ɛpɛ,sæppæ
ér,särɜ,FU,,,,er,særɜ,er∅,0er∅,særɜ
őn,säwnä,FU,,,,øn,sæβnæ,øn∅,0øn∅,sæβnæ
ëv,sewe ,FU,,(seγe-),,ev,seβe,ev∅,0ev∅,seβe
ín,sɤne ,U,,(sōne),,in,sɤne,in∅,0in∅,sɤne
ősz,sikśe ,FU,,(sükśe),,øs,sikʃʲe,øs∅,0øs∅,sikʃʲe
öl,sile ,FU,,(süle),,øl,sile,øl∅,0øl∅,sile
ujj,soja,U,,,,ujj,soja,ujj∅,0ujj∅,soja
