"word","time","question","origin"
"amnesztia","from_1601_1650","0","Latin_inGeneral"
"amoba","from_1851_1900","0","Internationalisms"
"ámokfutó","from_1901_1950","0","InternalDevelopment_LoanTranslation_German_Compound"
"amott","from_1401_1500","0","InternalDevelopment_Formed_Compound"
"ámpolna","from_1401_1500","0","NewLatin_Italian"
"ampulla","from_1651_1700","0","Latin_inGeneral"
"amputál","from_1801_1850","0","Latin_inGeneral"
"ámul","from_1401_1500","0","InternalDevelopment_Created_Onomatopoetic"
"amulett","from_1651_1700","0","Latin_inGeneral"
"anakronizmus","from_1801_1850","0","Internationalisms"
"analfabéta","from_1851_1900","0","Internationalisms"
"ananász","from_1751_1800","0","Internationalisms"
"anarchia","from_1701_1750","0","Internationalisms"
"andalog","from_1751_1800","0","InternalDevelopment_Formed_Derivation"
"anekdota","from_1751_1800","0","Internationalisms"
"angin","from_1751_1800","0","Germanic_inGeneral"
"anglikán","from_1651_1700","0","Latin_inGeneral"
"angol","from_1751_1800","0","Latin_inGeneral"
"angolna","from_1501_1550","0","Latin_inGeneral"
"angóranyúl","from_1901_1950","0","InternalDevelopment_LoanTranslation_International_PartlyTranslated"
"ángy","from_1351_1400","0","InternalDevelopment_Formed_Derivation"
"angyal","from_1251_1300","0","Latin_inGeneral"
"angyalbögyöro","from_1851_1900","0","InternalDevelopment_Formed_Compound"
"angyalbor","from_1751_1800","0","InternalDevelopment_Formed_Compound"
"angyalcsináló","from_1801_1850",NA,NA
"angyélika","from_1501_1550",NA,NA
"ánizs","from_1351_1400","0","Wanderwort"
"ankét","from_1851_1900","0","NewLatin_French"
"annyi","from_1351_1400","0","InternalDevelopment_Formed_Derivation"
"anorák","from_1901_1950","0","Internationalisms"
"anorexia","after_1951","0","Latin_inGeneral"
"antant","from_1901_1950","0","Internationalisms"
"antenna","from_1851_1900","0","Internationalisms"
"antik","from_1751_1800","0","Internationalisms"
"antikvárius","from_1751_1800","0","Latin_inGeneral"
"antilop","from_1801_1850","0","Internationalisms"
"antipátia","from_1551_1600","0","Latin_inGeneral"
"antiszemita","from_1851_1900","0","Germanic_inGeneral"
"anya","from_1151_1200",NA,NA
"anyag","from_1751_1800","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"anyakönyv","from_1801_1850","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"anyakönyv","from_1801_1850","0","InternalDevelopment_Formed_Compound"
"anyanyelv","from_1751_1800","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"anyanyelv","from_1751_1800","0","InternalDevelopment_Formed_Compound"
"anyarozs","from_1751_1800","0","InternalDevelopment_Formed_Compound"
"anyarozs","from_1751_1800","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"anyaszentegyház","from_1401_1500","0","InternalDevelopment_Formed_Compound"
"anyós","from_1601_1650","0","InternalDevelopment_Formed_Derivation"
"apa","from_1051_1100","?","Ancient_Finno_Ugric"
"apáca","from_1251_1300","?","UnknownOrigin_Loan"
"apacs","from_1901_1950","0","Internationalisms"
"apad","from_1101_1150","?","Ancient_Finno_Ugric"
"apanázs","from_1751_1800","0","Internationalisms"
"apát","from_1151_1200","?","UnknownOrigin_Loan"
"apátia","from_1751_1800","0","Internationalisms"
"apellál","from_1551_1600","0","Latin_inGeneral"
"ápol","from_1351_1400","0","InternalDevelopment_Formed_Derivation"
"áporodik","from_1551_1600","?","Turkic_Before895_inGeneral"
"áporodik","from_1551_1600","0","ContestedOrigin"
"áporodik","from_1551_1600","?","InternalDevelopment_Formed_Derivation"
"após","from_1601_1650","0","InternalDevelopment_Formed_Derivation"
"apostol","from_1201_1250","0","Latin_inGeneral"
"apparátus","from_1551_1600","0","Latin_inGeneral"
"aprehendál","from_1551_1600","0","Latin_inGeneral"
"április","from_1401_1500","0","Latin_inGeneral"
"apró","from_1251_1300","?","Turkic_Before895_inGeneral"
"apró-csepro","from_1551_1600","0","InternalDevelopment_Formed_TwinWords"
"apród","from_1251_1300","0","InternalDevelopment_Formed_Derivation"
"apropó","from_1701_1750","0","Internationalisms"
"ár1","from_1251_1300","0","Ancient_Ugric"
"ár2","from_1351_1400","0","Ancient_Finno_Ugric"
"ár3","from_1801_1850","0","Internationalisms"
"ár4","from_1201_1250","0","Ancient_Finno_Ugric"
"ara","from_1401_1500","0","Ancient_Ugric"
"arab","from_1551_1600","0","Latin_inGeneral"
"arabeszk","from_1751_1800","0","Internationalisms"
"áramlik","from_1801_1850","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"aranka","from_1751_1800","0","InternalDevelopment_Formed_Derivation"
"arany","from_1051_1100","0","Ancient_Ugric"
"arány","from_1701_1750","0","InternalDevelopment_ConsciouslyFormed_inGeneral"
"aranyér","from_1701_1750","?","InternalDevelopment_LoanTranslation_Latin_MirrorTranslation"
"aranyeso","from_1901_1950","0","InternalDevelopment_LoanTranslation_German_MirrorTranslation"
"arasz","from_1401_1500","0","Ancient_Finno_Ugric"
"arat","from_1201_1250","?","Turkic_Before895_inGeneral"
"arat","from_1201_1250","0","ContestedOrigin"
