got_lemma,Wortart,got_pos,Deutsche Bedeutung,Englische Bedeutung,got_en,link,got_ipa,got_occurences,got_reconstructedness,got_certainty
afwalwjan,V.,v,wegwälzen,"remove by rolling, roll away","remove_by_rolling, roll_away",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwalwjan,2,form,certain
afwandjan,V.,v,"abwenden, vermeiden","turn aside, make turn away from","turn_aside, make_turn_away_from",https://koeblergerhard.de/wikiling/?f=got&page=6,aɸwandjan,7,not reconstructed,certain
agan,V.,v,sich fürchten,be afraid of,be_afraid_of,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣan,,word,uncertain
agands,"V., Adj.","n,v,a,r",furchtsam,fearful,fearful,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣands,,word,uncertain
agatja,F.,n,Elster,magpie,magpie,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣatja,,word,uncertain
agei,F.,n,"Furchtsamkeit, Ängstlichkeit",timidity,timidity,https://koeblergerhard.de/wikiling/?f=got&page=6,aɣi,,word,uncertain
agga,M.,n,Enge,narrowness,narrowness,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡa,,word,uncertain
Aggils,M.,n,Angel (M.),Angle,Angle,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡɪls,,word,uncertain
aggilus,M.,n,"Engel, Bote",angel,angel,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡɪlus,39,not reconstructed,certain
aggwei,F.,n,"Enge, Einschränkung","narrowness, restriction","narrowness, restriction",https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡwi,,word,uncertain
aggweins,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡwins,,word,uncertain
aggwiþa,F.,n,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)","affliction, trouble, plight, anxiety, distress",https://koeblergerhard.de/wikiling/?f=got&page=6,aŋɡwɪθa,5,not reconstructed,certain
aggwjan,V.,v,"bedrängen, beengen, engen","constrain (V.), cramp completely","constrain, cramp_completely",https://koeblergerhard.de/wikiling/?f=got&page=7,aŋɡwjan,,word,uncertain
aggwus,Adj.,a,eng,narrow (Adj.),narrow,https://koeblergerhard.de/wikiling/?f=got&page=7,aŋɡwus,2,form,certain
agi,F.,n,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword","blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪ,,word,certain
agja,F.,n,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword","blade, edge, point, sharpness, sword",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣja,,word,certain
agis,N.,n,"Furcht, Schrecken","awe (N.), fear (N.), fright, terror (N.)","awe, fear, fright, terror",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣɪs,20,not reconstructed,certain
agja,F.,n,,,,https://koeblergerhard.de/wikiling/?f=got&page=7,aɣja,,word,certain
agjan,V.,v,"ängstigen, sich fürchten","frighten, worry (V.)","frighten, worry",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣjan,,word,uncertain
agkja,F.,n,"Bein, Röhre","leg, pipe (N.), tube","leg, pipe, tube",https://koeblergerhard.de/wikiling/?f=got&page=7,aŋkja,,word,uncertain
aglaitei,F.,n,"Unzucht, Unschicklichkeit, Unkeuschheit","licentiousness, debauchery","licentiousness, debauchery",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪti,54,not reconstructed,certain
aglaiteis,Adj.,a,"schändlich, unzüchtig","lewd, shameful","lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪtis,,word,certain
aglaits,Adj.,a,"schändlich, unzüchtig","lewd, shameful","lewd, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪts,,word,certain
aglaitgastalds,Adj.,a,"schmutzig gewinnsüchtig, habsüchtig","acquisitive, grasping, shamefully greedy","acquisitive, grasping, shamefully_greedy",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪtɡastalds,2,not reconstructed,certain
aglaiti,N.,n,"Unzucht, Unschicklichkeit, Unkeuschheit","debauchery, licentiousness, dissipation","debauchery, licentiousness, dissipation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪtɪ,2,form,certain
aglaitiwáurdei,F.,n,"Schandrede, unzüchtiges Reden","obscene language, foul language, shameful speech, filthy talk","obscene_language, foul_language, shameful_speech, filthy_talk",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪtɪwaurdi,2,form,certain
aglaitiwáurds,Adj.,a,"verleumderisch, schändlich",verbally obscene,verbally_obscene,https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪtɪwaurds,,word,certain
aglaits,Adj.,a,,,,https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlaɪts,,word,uncertain
agliþa,F.,n,"Drangsal, Trübsal","pressure, trial, tribulation, trouble (N.)","pressure, trial, tribulation, trouble",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlɪθa,1,form,certain
agljan,V.,v,"schaden, belästigen","harm (V.), injure the health, be physically harmful to, be physiologically injur>>>","harm, injure_the_health, be_physically_harmful_to, be_physiologically_injur",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣljan,1,form,certain
aglō,F.,n,Drangsal,"affliction, painfulness, tribulation","affliction, painfulness, tribulation",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣlo,27,not reconstructed,certain
agls,Adj.,a,schimpflich,"disgraceful, shameful","disgraceful, shameful",https://koeblergerhard.de/wikiling/?f=got&page=7,aɣls,1,form,certain
