New_orth,Old_orth,Lan,New,Old,old_struc
szel,śälä,FU,sɛl,ʃʲælæ,CVCV
sző,śäŋe,FU,søː,ʃʲæŋe,CVCV
segg,śäŋkɜ,FU,ʃɛɡɡ,ʃʲæŋkɜ,CVCCV
szër,śerɜ,U,ser,ʃʲerɜ,CVCV
szív,śiδä,U,siːv,ʃʲiðæ,CVCV
sün,śijele,FU,ʃyn,ʃʲijele,CVCVCV
szëm,śilmä,U,sem,ʃʲilmæ,CVCCV
zaj,śoje,FU,zɒj,ʃʲoje,CVCV
szomjú,śomɜ,FU,somjuː,ʃʲomɜ,CVCV
szarv,śorwa,FU,sɒrv,ʃʲorwɑ,CVCCV
szorul,śorɜ,FU,sorul,ʃʲorɜ,CVCV
szúr,śurwa,FU,suːr,ʃʲurwɑ,CVCCV
szurok,śurɜ,FU,surok,ʃʲurɜ,CVCV
száj,śuwe,U,saːj,ʃʲuwe,CVCV
ér,šärɜ,FU,eːr,ʃærɜ,CVCV
ér,šerɜ,FU,eːr,ʃerɜ,CVCV
egér,šiŋere,FU,ɛɡeːr,ʃiŋere,CVCVCV
apad,šoppɜ,FU,ɒpɒd,ʃoppɜ,CVCCV
irt,šurɜ,U,irt,ʃurɜ,CVCV
tapod,tappa,U,tɒpod,tɑppɑ,CVCCV
daru,tarɜkɜ,FU,dɒru,tɑrɜkɜ,CVCVCV
té,tä,U,teː,tæ,CV
tetű,täje,FU,tɛtyː,tæje,CVCV
tél,tälwä,FU,teːl,tælwæ,CVCCV
tele,täwδe,FU,tɛlɛ,tæwðe,CVCCV
tüdő,täwe,U,tydøː,tæwe,CVCV
tëv,teke,FU,tev,teke,CVCV
tűz,tekɜ,FU,tyːz,tekɜ,CVCV
töm,temɜ,FU,tøm,temɜ,CVCV
több,teppɜ,FU,tøbb,teppɜ,CVCCV
tőr,terä,FU,tøːr,teræ,CVCV
tér,terɜ,FU,teːr,terɜ,CVCV
tő,tiŋe,FU,tøː,tiŋe,CVCV
tova,to,U,tovɒ,to,CV
tat,totke,U,tɒt,totke,CVCCV
tavasz,towkɜ,FU,tɒvɒs,towkɜ,CVCCV
tó,towɜ,U,toː,towɜ,CVCV
tőgy,tuδ̕ka,FU,tøːɟ,tuðʲkɑ,CVCCV
tat,tuktɜ,U,tɒt,tuktɜ,CVCCV
toll,tulka,U,toll,tulkɑ,CVCCV
tud,tumte,U,tud,tumte,CVCCV
dug,tuŋke,FU,duɡ,tuŋke,CVCCV
tarja,turja,FU,tɒrjɒ,turjɑ,CVCCV
të,tȣ̈,U,te,t¨,CV
ti,tȣ̈,U,ti,t¨,CV
úsz,uje,U,uːs,uje,VCV
út,utka,U,uːt,utkɑ,VCCV
vessző,waćɜ,FU,vɛʃsøː,wɑt͡ʃʲɜ,CVCV
vás,wačɜ,FU,vaːʃ,wɑt͡ʃɜ,CVCV
völgy,waδ̕kɜ,U,vølɟ,wɑðʲkɜ,CVCCV
vejsze,waja,FU,vɛjsɛ,wɑjɑ,CVCV
vöcsök,wajće,FU,vøt͡ʃøk,wɑjt͡ʃʲe,CVCCV
vál,walka,FU,vaːl,wɑlkɑ,CVCCV
villám,walkɜ,FW,villaːm,wɑlkɜ,CVCCV
villám,waĺɜ,FP,villaːm,wɑlʲɜ,CVCV
vad,wamta,FU,vɒd,wɑmtɑ,CVCCV
vág,waŋɜ,Ug,vaːɡ,wɑŋɜ,CVCV
varjú,warɜ,U,vɒrjuː,wɑrɜ,CVCV
virrad,warɜ,FU,virrɒd,wɑrɜ,CVCV
vas,waśke,U,vɒʃ,wɑʃʲke,CVCCV
véd,wäntɜ,FU,veːd,wæntɜ,CVCCV
vés,wäŋćɜ,FU,veːʃ,wæŋt͡ʃʲɜ,CVCCV
vő,wäŋe,U,vøː,wæŋe,CVCV
öl,weδɜ,FU,øl,weðɜ,CVCV
vékony,wekkɜ,FU,veːkoɲ,wekkɜ,CVCCV
vezet,wetä,FU,vɛzɛt,wetæ,CVCV
víz,wete,U,viːz,wete,CVCV
vigyáz,wića,FU,viɟaːz,wit͡ʃʲɑ,CVCV
velő,wiδɜ,FU,vɛløː,wiðɜ,CVCV
viv,wiγe,FU,viv,wiɣe,CVCV
öv,wiŋä,FU,øv,wiŋæ,CVCV
vér,wire,FU,veːr,wire,CVCV
öt,witte,FU,øt,witte,CVCCV
vaj,woje,FU,vɒj,woje,CVCV
vív,woje,FU,viːv,woje,CVCV
vol,wole,FU,vol,wole,CVCV
váll,wolka,FU,vaːll,wolkɑ,CVCCV
ón,wolnɜ,FU,oːn,wolnɜ,CVCCV
varr,workɜ,FU,vɒrr,workɜ,CVCCV
új,wuδ̕e,FU,uːj,wuðʲe,CVCV
ásít,ȣćɜ,FU,aːʃiːt,ȣt͡ʃʲɜ,VCV
ë,ȣ̈,FU,e,¨,V
utál,aktɜ,Ug,utaːl,ɑktɜ,VCCV
alom,alama,Ug,ɒlom,ɑlɑmɑ,VCVCV
olt,alɜ,Ug,olt,ɑlɜ,VCV
ágyék,ańćɜ,Ug,aːɟeːk,ɑnʲt͡ʃʲɜ,VCCV
ara,arɜ,Ug,ɒrɒ,ɑrɜ,VCV
iránt,arɜ,Ug,iraːnt,ɑrɜ,VCV
i,äjɜ,Ug,i,æjɜ,VCV
Erdély,älɜ,Ug,ɛrdeːj,ælɜ,VCV
ëb,ämpɜ,Ug,eb,æmpɜ,VCCV
epër,äppɜrɜkɜ,Ug,ɛper,æppɜrɜkɜ,VCCVCVCV
edz,ättɜ,Ug,ɛd͡z,ættɜ,VCCV
csókol,ćukkɜ,Ug,t͡ʃoːkol,t͡ʃʲukkɜ,CVCCV
süpped,čeppɜ,Ug,ʃyppɛd,t͡ʃeppɜ,CVCCV
sötét,čettɜ,Ug,ʃøteːt,t͡ʃettɜ,CVCCV
süt,čittɜ,Ug,ʃyt,t͡ʃittɜ,CVCCV
arany,ϑarańa,Ug,ɒrɒɲ,θɑrɑnʲɑ,CVCVCV
ár,ϑarɜ,Ug,aːr,θɑrɜ,CVCV
asz,ϑasɜ,Ug,ɒs,θɑsɜ,CVCV
hét,ϑäptɜ,Ug,heːt,θæptɜ,CVCCV
áz,ϑȣćɜ,Ug,aːz,θȣt͡ʃʲɜ,CVCV
akad,ϑȣkkɜ,Ug,ɒkɒd,θȣkkɜ,CVCCV
ígér,eŋkɜrɜ,Ug,iːɡeːr,eŋkɜrɜ,VCCVCV
üsző,iśɜ,Ug,ysøː,iʃʲɜ,VCV
űz,itɜ,Ug,yːz,itɜ,VCV
jó,jomɜ,Ug,joː,jomɜ,CVCV
joh,ju,Ug,joh,ju,CV
jut,juktɜ,Ug,jut,juktɜ,CVCCV
gyak,jȣkkɜ,Ug,ɟɒk,jȣkkɜ,CVCCV
gyalu,jȣrɜ,Ug,ɟɒlu,jȣrɜ,CVCV
ját,jȣttɜ,Ug,jaːt,jȣttɜ,CVCCV
gyökér,jȣ̈kkɜrɜ,Ug,ɟøkeːr,j¨kkɜrɜ,CVCCVCV
íz,jȣ̈tɜ,Ug,iːz,j¨tɜ,CVCV
hasad,kaćɜ,Ug,hɒʃɒd,kɑt͡ʃʲɜ,CVCV
haj,kajɜ,Ug,hɒj,kɑjɜ,CVCV
hajol,kajɜ,Ug,hɒjol,kɑjɜ,CVCV
harkály,karɜ,Ug,hɒrkaːj,kɑrɜ,CVCV
híz,katɜ,Ug,hiːz,kɑtɜ,CVCV
keshed,käńćɜ,Ug,kɛʃhɛd,kænʲt͡ʃʲɜ,CVCCV
kísér,kećɜ,Ug,kiːʃeːr,ket͡ʃʲɜ,CVCV
ki,ki,Ug,ki,ki,CV
hattyú,kottɜŋɜ,Ug,hɒtcuː,kottɜŋɜ,CVCCVCV
hoz,kućɜ,Ug,hoz,kut͡ʃʲɜ,CVCV
hagyap,kuδ̕ɜ,Ug,hɒɟɒp,kuðʲɜ,CVCV
hód,kumtɜ,Ug,hoːd,kumtɜ,CVCCV
húz,kupɜtɜ,Ug,huːz,kupɜtɜ,CVCVCV
hagy,kȣńćɜ,Ug,hɒɟ,kȣnʲt͡ʃʲɜ,CVCCV
kesered,kȣ̈ćɜ,Ug,kɛʃɛrɛd,k¨t͡ʃʲɜ,CVCV
köles,kȣ̈lɜ,Ug,kølɛʃ,k¨lɜ,CVCV
kedv,kȣ̈ntɜ,Ug,kɛdv,k¨ntɜ,CVCCV
könnyű,kȣ̈nɜ,Ug,kønɲyː,k¨nɜ,CVCV
köszörül,kȣ̈sɜ,Ug,køsøryl,k¨sɜ,CVCV
les,läćɜ,Ug,lɛʃ,læt͡ʃʲɜ,CVCV
ló,luwɜ,Ug,loː,luwɜ,CVCV
malát,malkɜ,Ug,mɒlaːt,mɑlkɜ,CVCCV
magyar,mańćɜ,Ug,mɒɟɒr,mɑnʲt͡ʃʲɜ,CVCCV
mese,mańćɜ,Ug,mɛʃɛ,mɑnʲt͡ʃʲɜ,CVCCV
márt,marɜ,Ug,maːrt,mɑrɜ,CVCV
meleg,mälɜ,Ug,mɛlɛɡ,mælɜ,CVCV
mer,märɜ,Ug,mɛr,mærɜ,CVCV
mer,märɜ,Ug,mɛr,mærɜ,CVCV
meztelen,mećɜ,Ug,mɛztɛlɛn,met͡ʃʲɜ,CVCV
mély,melɜ,Ug,meːj,melɜ,CVCV
mënyül,menɜ,Ug,meɲyl,menɜ,CVCV
mered,merɜ,Ug,mɛrɛd,merɜ,CVCV
marok,mȣrɜ,Ug,mɒrok,mȣrɜ,CVCV
nevet,mȣ̈kɜ,Ug,nɛvɛt,m¨kɜ,CVCV
méltó,mȣ̈lɜ,Ug,meːltoː,m¨lɜ,CVCV
nyék,näkɜ,Ug,ɲeːk,nækɜ,CVCV
nyerëg,närkɜ,Ug,ɲɛreɡ,nærkɜ,CVCCV
nyolc,ńalɜ,Ug,ɲolt͡s,nʲɑlɜ,CVCV
nyer,ńärɜ,Ug,ɲɛr,nʲærɜ,CVCV
oldal,oŋtɜ,Ug,oldɒl,oŋtɜ,VCCV
fék,päkkɜ,Ug,feːk,pækkɜ,CVCCV
fejt,pejɜ,Ug,fɛjt,pejɜ,CVCV
fekély,pekkɜ,Ug,fɛkeːj,pekkɜ,CVCCV
födél,pentɜlɜ,Ug,fødeːl,pentɜlɜ,CVCCVCV
füst,pičɜ,Ug,fyʃt,pit͡ʃɜ,CVCV
fűl,pilɜ,Ug,fyːl,pilɜ,CVCV
fű,pimɜ,Ug,fyː,pimɜ,CVCV
fok,pukkɜ,Ug,fok,pukkɜ,CVCCV
fulánk,pulɜ,Ug,fulaːnk,pulɜ,CVCV
fog,puŋɜ,Ug,foɡ,puŋɜ,CVCV
fárad,pȣγrɜ,Ug,faːrɒd,pȣɣrɜ,CVCCV
foly,pȣlɜ,Ug,foj,pȣlɜ,CVCV
